service,content,zone
7,39,1
9,48,1
8,43,1
7,39,1
9,45,1
7,36,1
5,26,1
6,33,1
7,37,1
8,40,1
7,39,1
6,30,1
5,28,1
6,32,1
7,36,1
7,37,1
9,46,1
5,29,1
6,32,1
7,39,1
8,41,1
5,25,1
6,30,1
7,39,1
8,43,1
0,3,1
1,0,1
7,39,1
7,35,1
5,28,1
6,30,1
7,37,1
8,41,1
9,47,1
8,40,1
1,0,1
3,19,1
4,20,1
7,39,1
6,32,1
7,38,1
8,43,1
7,39,1
8,44,1
8,41,1
5,26,1
6,33,1
7,39,1
8,41,1
6,32,1
6,30,1
7,38,1
17,39,1
8,44,1
5,28,1
6,34,1
7,39,1
8,43,1
8,40,1
6,33,1
7,36,1
8,41,1
7,39,1
6,34,1
7,38,1
7,39,1
0,3,1
1,0,1
2,11,1
7,37,1
7,36,1
8,44,1
7,36,1
9,45,1
6,31,1
7,36,1
3,18,1
7,37,1
8,44,1
10,0,1
11,7,1
12,14,1
5,28,1
6,31,1
8,41,1
17,35,1
8,43,1
5,27,1
6,32,1
7,36,1
8,42,1
5,26,1
6,31,1
7,36,1
6,30,1
7,36,1
8,42,1
7,35,1
5,26,1
6,31,1
7,35,1
8,41,1
5,29,1
6,31,1
7,39,1
8,43,1
5,27,1
6,31,1
7,35,1
8,44,1
7,37,1
9,45,1
8,40,1
9,49,1
6,33,1
8,42,1
5,27,1
6,31,1
7,35,1
8,42,1
8,43,1
2,13,1
0,3,1
1,0,1
2,14,1
7,39,1
7,35,1
6,30,1
2,11,1
7,39,1
5,26,1
6,30,1
9,47,1
9,46,1
8,44,1
7,36,1
6,31,1
5,25,1
6,34,1
7,37,1
8,42,1
5,27,1
6,34,1
7,39,1
8,42,1
7,38,1
7,38,1
8,40,1
9,47,1
7,35,1
7,35,1
0,0,1
7,35,1
7,37,1
7,35,1
7,39,1
5,26,1
6,33,1
7,37,1
5,26,1
6,30,1
7,39,1
8,41,1
5,27,1
6,34,1
7,39,1
8,40,1
7,36,1
7,39,1
9,47,1
7,39,1
7,38,1
7,38,1
7,38,1
5,29,1
7,37,1
8,40,1
7,37,1
0,3,1
1,35,1
2,11,1
6,32,1
0,0,1
1,25,1
2,10,1
6,33,1
0,0,1
1,0,1
2,11,1
7,36,1
7,38,1
8,42,1
7,37,1
7,38,1
7,35,1
6,30,1
6,32,1
7,35,1
7,36,1
4,21,1
8,40,1
7,35,1
7,37,1
7,36,1
6,33,1
7,39,1
7,36,1
7,36,1
8,42,1
7,37,1
7,37,1
7,38,1
7,37,1
9,48,1
6,32,1
7,38,1
6,32,1
9,46,1
7,37,1
5,26,1
8,41,1
0,1,1
1,0,1
2,10,1
7,38,1
2,11,1
7,36,1
2,14,1
6,34,1
7,36,1
7,38,1
5,26,1
7,36,1
6,34,1
6,31,1
7,37,1
7,37,1
7,35,1
8,40,1
1,0,1
3,19,1
4,21,1
7,35,1
7,36,1
0,0,1
7,38,1
8,44,1
9,49,1
7,39,1
7,39,1
7,35,1
5,26,1
2,12,1
7,39,1
7,35,1
8,40,1
5,28,1
6,32,1
7,39,1
6,33,1
7,37,1
7,35,1
9,47,1
6,33,1
5,28,1
6,33,1
7,35,1
8,44,1
7,39,1
5,26,1
6,30,1
7,38,1
7,37,1
7,38,1
7,36,1
5,28,1
6,34,1
7,38,1
8,44,1
7,38,1
